Driver,Team,Livery,Color,darkpalette
HAM,MER,#c6c6c6,#00c0bf,#00c0bf
RUS,MER,#c6c6c6,#00c0bf,#00c0bf
VER,RBR,#121f45,#000099,#ffe119
PER,RBR,#121f45,#000099,#ffe119
LEC,FER,#a6051a,#e6194b,#e6194b
SAI,FER,#a6051a,#e6194b,#e6194b
NOR,MCL,#ff8000,#f58231,#f58231
RIC,MCL,#ff8000,#f58231,#f58231
OCO,APN,#fd4bc7,#ff0783,#f032e6
ALO,APN,#fd4bc7,#ff0783,#f032e6
GAS,APT,#00293f,#00293f,#dcbeff
TSU,APT,#00293f,#00293f,#dcbeff
STR,AMR,#00352f,#3cb44b,#3cb44b
VET,AMR,#00352f,#3cb44b,#3cb44b
ALB,WIL,#041e42,#4363d8,#4363d8
LAT,WIL,#041e42,#4363d8,#4363d8
BOT,ARR,#981e32,#800000,#800000
ZHO,ARR,#981e32,#800000,#800000
MSC,HAA,#ffffff,#ffffff,#fffac8
MAG,HAA,#ffffff,#ffffff,#fffac8
GIO,ARR,#981e32,#800000,#800000
RAI,ARR,#981e32,#800000,#800000
MAZ,HAA,#ffffff,#ffffff,#fffac8
HUL,AMR,#00352f,#3cb44b,#3cb44b
